dge.id	met.id
DGE_t9-22_1	ALL_168
DGE_TALL_1	ALL_171
DGE_HeH_1	ALL_170
DGE_HeH_9	ALL_206
DGE_undefined_1	ALL_244
DGE_t12-21_1	ALL_251
DGE_dic9-20_1	ALL_293
DGE_dic9-20_2	ALL_357
DGE_HeH_2a	ALL_359
DGE_HeH_2b	ALL_359
DGE_t9-22_2	ALL_369
DGE_HeH_3	ALL_380
DGE_TALL_2	ALL_457
DGE_t12-21_2	ALL_458
DGE_HeH_4	ALL_459
DGE_HeH_5	ALL_464
DGE_t1-19_1	ALL_465
DGE_HeH_6	ALL_467
DGE_HeH_7	ALL_472
DGE_t12-21_3	ALL_488
DGE_TALL_3	ALL_484
DGE_MLL-11q23_1	ALL_475
DGE_HeH_8	ALL_486
DGE_dic9-20_3	ALL_494
DGE_t9-22_3	ALL_544
DGE_t12-21_4	ALL_104
DGE_HeH_10	ALL_106
DGE_TALL_4	ALL_113
CD19_196	196_B
CD19_377	377_B
CD19_465	465_B
CD19_573	573_B
CD3_539	539_T
CD3_546	546_T
CD3_547	547_T
CD3_549	549_T
